4864832,4864832,9.2,(2896人评价),(美) 威廉厄姆 (Willingham.D.T.) . 著 / 赵萌. / 江苏教育出版社 / 2010-5 / 26.00元
26331613,26331613,8.9,(15人评价),(美)斯坦利•格林斯潘、杰奎琳•萨尔蒙 / 于娟娟 / 华夏出版社 / 2015-1 / 49.80元
3506864,3506864,,(10人评价),[美] 玛丽安·西格曼、[美] 莉萨·卡普斯 / 佘玲、谢志良 / 四川教育出版社 / 2008-7 / 20.00元
26949979,26949979,,(10人评价),S·格哈特 (Sue Gerhardt) / 中国青年出版社 / 2016-8-1 / CNY 38.00
34786958,34786958,9.5,(44人评价),托德老师 / 机械工业出版社 / 2019-8 / 59.00
3712562,3712562,7.1,(23人评价),边玉芳|主编:董奇//边玉芳 / 浙江教育 / 2009-4 / 29.00元
26930148,26930148,8.9,(39人评价),[法] 艾丽斯·布里埃-阿凯、[法] 西勒 / 魏舒 / 浙江少年儿童出版社 / 2016-12-1 / 38.00
30694502,30694502,8.2,(18人评价),李跃儿 / 华东师范大学出版社 / 2018-10-1 / 29.30元
1392867,1392867,0,(少于10人评价),保罗·福克斯曼 /        / 2005-6 / 29.00元
1320156,1320156,0,(少于10人评价),S·A·米勒 / 华东师范大学出版社 / 2004-12 / 52.00元
1184872,1184872,8.2,(790人评价),孙瑞雪 / 新蕾出版社 / 2004-7 / 28.00元
1199109,1199109,0,(目前无人评价),刘金明 / 天津教育出版社 / 2003-8 / 15.00元
4909300,4909300,7.2,(19人评价),吉沅洪 / 华东师范大学出版社 / 2010-7 / 36.00元
26914656,26914656,,(10人评价),李文玲、舒华 主编 / 北京师范大学出版社 / 2016-11 / 98.00元
11235110,11235110,0,(少于10人评价),"Berk, Laura E. / 2012-4 / $ 117.24"
33423778,33423778,8.5,(23人评价),[英] Rebecca Bergese、[英] Margot Waddell / 杨维玉 / 中国轻工业出版社 / 2019-6 / 48.00元
26578693,26578693,9.4,(505人评价),布鲁斯·D. 佩里 (Bruce D. Perry)、迈亚·塞拉维茨 (Maia Szalavitz) / 曾早垒 / 重庆大学出版社 / 2015-7-1 / CNY 46.00
26690506,26690506,7.1,(21人评价),[瑞士]让·皮亚杰 / 严和来、姜余 / 商务印书馆 / 2015-11 / 20.00
30500268,30500268,0,(少于10人评价),彭小蹦 / 中国妇女出版社 / 2018-7 / 39.30
2327602,2327602,7.1,(11人评价),刘俊升 / 北京大学出版社 / 1970-1 / 20.00元
21660873,21660873,0,(少于10人评价),昝飞 / 中国轻工业出版社 / 2013-2 / 35.00元
1811539,1811539,0,(少于10人评价),查子秀 编 / 人民教育出版社 / 2006-2 / 31.40元
4222031,4222031,9.1,(21人评价),"梅蘭妮．克萊恩 Klein, Melanie / 呂煦宗、李淑珺、陳維峰、甄家明、龔卓軍 / 心靈工坊文化事業股份有限公司 / 2009/12/30 / NT$800"
27060577,27060577,8.5,(221人评价),[美] 鲁道夫•德雷克斯 / 花莹莹 / 生活•读书•新知三联书店生活书店出版有限公司 / 2017-6-15 / 49.00
27069354,27069354,0,(少于10人评价),[英]马克·约翰逊（Mark H.Johnson）、[英]米歇尔·德·哈恩（Michelle de Haan） / 徐芬 / 北京师范大学出版社（集团）有限公司 / 2017-6-1 / 68.00
5385674,5385674,8.9,(25人评价),（韩）徐亨淑 / 董小娇 / 中信出版社 / 2010-11 / 28.00元
34794128,34794128,0,(少于10人评价),柏燕谊 / 江苏凤凰文艺出版社 / 2019-8 / 45.00元
10771264,10771264,,(16人评价),王佳 / 2012-7 / 29.80元
1129278,1129278,0,(少于10人评价),陈帼眉 / 人民教育 / 2003-6 / 20.00元
34918520,34918520,9.3,(37人评价),徐桂凤 / 广西师范大学出版社 / 2020-1 / 48元/本
26914650,26914650,0,(少于10人评价),李文玲、舒华 主编 / 北京师范大学出版社 / 2016-11 / 88.00元
2206964,2206964,0,(少于10人评价),Leonard Sax / 洪兰 / 远流出版 / 2006-1-16 / NT$300
30252607,30252607,8.2,(18人评价),[法] 迪迪埃·莱维 文、[法] 法布里斯·蒂里耶 图 / 高郁茗 / 河北教育出版社 / 2016-12 / 39.80元
